ID,CATEGORIA,DESCRIÇÃO DA PEÇA,BANHO,PREÇO DE VENDA, NOME  FOTO
CO002RO,COLAR,CORDÃO BAIANO | BANHO: RODIO,RODIO,"  136,86 ",COLAR_CORDAO_BAIANO_CO002RO.jpg
CO003OU,COLAR,CHOCKER CORAÇÃO | BANHO: OURO,OURO,"  169,86 ",COLAR_CHOCKER_CORAÇAO_CO003OU.jpg
BRA002RO,BRACELETE,BRACELETE LISO | BANHO: RODIO,RODIO,"  174,42 ",BRACELETE_ LARGO_ OND_BRA002RO.jpg
BRO002OU,BRINCO,BRINCO EAR HOOK| BANHO: OURO,OURO,"  136,86 ",BRINCO_ EAR_ HOOK_BRO002OU.jpg
PUL001OU,PULSEIRA, PULSEIRA PEROLA ORGANICA,OURO,"  93,03 ",PULSEIRA_PEROLA_ORGANICA_PUL001OU.jpg
CO004OU,COLAR,COLAR PEROLA C/ CORAÇÃO | BANHO: OURO,OURO,"  124,42 ",BRINCO_CORAÇÃO_BRO003OU_COLAR_PEROLA_CORAÇÃO_CO004OU.jpg
CO005RO,COLAR,CHOCKER FITA | BANHO: RODIO,RODIO,"  114,42 ",COLAR_FITA_CO005RO_CO007OU.jpg
CO006RO,COLAR,COLAR RIVIERA | BANHO: RODIO,RODIO,"  308,03 ",COLAR_RIVEIRA_CO008RO.jpg
CO007OU,COLAR,CHOCKER FITA | BANHO: OURO,OURO,"  114,42 ",COLAR_FITA_CO005RO_CO007OU.jpg
CO008RO,COLAR,COLAR FECHO CRAVEJADO | BANHO: RODIO,RODIO,"  276,42 ",COLAR_FECHO_CRAVEJADO_CO008RO.jpg
CO008OU,COLAR,COLAR FECHO CRAVEJADO | BANHO: OURO,OURO,"  246,42 ",COLAR_FECHO_CRAVEJADO_CO008OU.jpg
CO009OU,COLAR,COLAR GRUMET | BANHO: OURO,OURO,"  180,42 ",COLAR_GRUMET_ CO009OU_CHOCKER_PEROLA_ORGANICA_CO010OU.jpg
CO010OU,COLAR,CHOCKER PEROLA ORGANICA,OURO,"  125,86 ",COLAR_GRUMET_ CO009OU_CHOCKER_PEROLA_ORGANICA_CO010OU.jpg
CO011RO,COLAR,COLAR CORAÇÃO | BANHO: RODIO,RODIO,"  136,42 ",COLAR_CORAÇÃO_LISO_CO011RO.jpg
CO002OU,COLAR,CORDÃO BAIANO | BANHO: OURO,OURO,"  125,86 ",COLAR_CORDAO_BAIANO_CO002OU.jpg
CO012OU,COLAR,COLAR PEROLA ORGANICA | BANHO: OURO,OURO,"  105,53 ",COLAR_PEROLA_ORGANICA_UNICA_CO012OU.jpg
CJ002RO,CONJUNTO,CONJ GOTA CRAVEJADA | BANHO: RODIO,RODIO,"  138,42 ",CONJ_GOTA_CRAVEJADA_ROSA_CJ002RO.jpg
CJ003OU,CONJUNTO,CONJ GOTA CITRINO | BANHO: OURO,OURO,"  161,75 ",CONJ_GOTA_CITRINO_CJ003OU.jpg
CJ004RO,CONJUNTO,CONJ CORAÇÃO ZIRCONIA | BANHO: RODIO,RODIO,"  124,42 ",CONJ_CORAÇÃO_ZIRCONIA_CJ004RO.jpg
CJ005RO,CONJUNTO,CONJ CORAÇÃO LISO | BANHO: RODIO,RODIO,"  124,42 ",CONJ_CORAÇÃO_LISO_CJ005RO.jpg
AN003RO,ANEL,ANEL REGULAVEL MICRO ZIRCONIA | BANHO: RODIO,RODIO,"  118,03 ",ANEL_ZIRCONIA_AN003RO_AN003OU.jpg
AN008RO,ANEL,REGULAVEL CRISTAL | BANHO: RODIO,RODIO,"  85,53 ",ANEL_CRISTAL_AN008RO.jpg
AN005RO,ANEL,REGULAVEL LISO | BANHO: RODIO,RODIO,"  113,03 ",ANEL_REGULAVEL_AN005RO.jpg
AN009OU,ANEL,REGULAVEL LISO | BANHO: OURO,OURO,"  98,42 ",ANEL_REGULAVEL_LISO_AN009OU.jpg
AN007OU,ANEL,ANEL SOLITARIO | BANHO: OURO,OURO,"  123,03 ",ANEL_SOLITARIO_AN007OU.jpg
AN003OU,ANEL,ANEL REGULAVEL MICRO ZIRCONIA | BANHO: OURO,OURO,"  105,53 ",ANEL_ZIRCONIA_AN003RO_AN003OU.jpg
PUL002OU,PULSEIRA,PULSEIRA FECHO CRAVEJADO | BANHO: OURO,OURO,"  214,42 ",PULSEIRA_FECHO_CRAVEJADO_PUL002OU.jpg
